field size,Hexagonal-like (ratio),StaggerXY (ratio),RandomisedStaggerXY (ratio)
100m x 100m,2.15,10.6,13.04
150m x 150m,2.22,10.42,11.8
200m x 200m,2.29,10.37,12.15
