id,xcoord,ycoord
619,0,8.727691563
2608,0.004755178,3.049241836
665,0.010086226,9.601135633
2635,0.018182353,3.196636105
1174,0.018960451,6.719818515
2636,0.026188642,3.031431276
1057,0.026317681,2.68371717
530,0.030577525,0.137386594
506,0.031052668,0.176207463
2615,0.032468716,3.859843737
535,0.035081429,0.311554869
511,0.040824179,0.182777054
671,0.040910814,9.189101878
2627,0.045467765,3.283725541
1175,0.04935153,6.809136861
536,0.052871417,0.12215559
1177,0.052909846,6.075707795
1188,0.054059571,6.68610717
2292,0.055046002,8.396311204
1178,0.062671948,6.113809116
1066,0.06432468,2.386087897
620,0.067431662,8.163265064
2297,0.067912251,8.33157626
2733,0.078810982,3.089190563
2619,0.082267262,3.70698048
1179,0.086226332,6.427856463
516,0.105345851,0.966368097
529,0.112440758,0.346113255
1181,0.113333055,6.073503877
29,0.11825596,1.14456197
2294,0.132863715,8.053081787
2581,0.132868175,4.513493034
1056,0.144334246,2.187406094
2609,0.148554672,3.404295339
26,0.15860651,1.280336553
512,0.161940004,0.990067541
31,0.163666017,1.422904066
2622,0.164342395,3.846431954
514,0.171648461,0.276803249
1069,0.175843878,2.828205948
504,0.182824611,0.167275974
19,0.185395826,1.281943802
945,0.188068901,2.987040202
3394,0.189446783,7.861445413
618,0.190455448,8.71876212
2575,0.202163548,4.299348599
2624,0.202690815,3.193601766
949,0.207527428,2.385968549
2618,0.21310186,3.246311781
1058,0.216684926,2.592991809
1064,0.22263423,2.138050731
517,0.23290124,0.594409758
951,0.236067672,2.8635064
1063,0.238685276,2.416471336
515,0.249660738,0.072395361
3395,0.249960132,7.889922179
2574,0.253807362,4.335344624
30,0.259585743,1.602102251
957,0.260784443,2.786214259
2577,0.282436775,4.930475531
956,0.295634171,2.912244115
664,0.29581155,9.107862182
2291,0.303637376,8.884524615
2298,0.309016695,8.341396074
1167,0.309419023,6.091368285
2616,0.309517038,3.718707082
508,0.310528403,0.114422571
534,0.310677481,0.783803782
2288,0.320421124,8.825626172
1176,0.321250242,5.993771549
1169,0.32975529,6.053621707
3397,0.329775827,7.033485095
519,0.335147813,0.566045016
2296,0.339793281,8.834320244
1061,0.340118697,2.696437486
2623,0.341273442,3.952539527
947,0.351049517,2.62088987
1067,0.360475937,2.269403973
2626,0.362114263,3.959788562
18,0.365124864,1.846566032
2634,0.366940008,3.93788653
520,0.368760456,0.416273065
608,0.375410076,8.321904386
610,0.386398951,8.009929751
509,0.389179969,0.281402922
675,0.398122477,9.313700263
510,0.399125818,0.288473801
3391,0.399179635,7.040615035
2286,0.399402905,8.169853155
857,0.400721241,5.758938089
17,0.403922665,1.835198383
2728,0.405683563,3.789075415
32,0.406325261,1.774853061
2290,0.4088921,8.475955147
2287,0.420575164,8.360191014
1070,0.429930416,2.320018362
20,0.437928878,1.875676742
607,0.440032258,8.955100117
2607,0.445366222,3.034431405
2300,0.449631162,8.792109381
2611,0.452064494,3.372723527
3387,0.454736611,7.217383781
946,0.456908537,2.361035627
3383,0.464359594,7.375524741
1060,0.46610483,2.150254348
621,0.474000085,8.648942841
21,0.478312871,1.267710088
2610,0.491150523,3.109754425
2628,0.491834629,3.767647099
3382,0.497267284,7.939865034
522,0.501855682,0.781413749
2586,0.507455954,4.21374806
540,0.508648129,0.584521235
541,0.514911974,0.14761606
2612,0.520406276,3.635613404
1170,0.523565542,6.494735067
955,0.525142247,2.604549
858,0.526940506,5.498592245
2295,0.531095385,8.380912141
528,0.532566725,0.894312395
2293,0.541396205,8.901841983
2576,0.546062472,4.396857723
2726,0.546762024,3.837038536
2299,0.546821402,8.148622835
617,0.549337834,8.252780598
2629,0.550894466,3.340068528
22,0.551150949,1.414917783
525,0.553524479,0.550470569
3389,0.55562298,7.512237889
2620,0.556290528,3.05895358
1180,0.559641503,6.579071503
527,0.566308951,0.913320454
2729,0.566694537,3.487856889
952,0.566857799,2.583534708
526,0.587130798,0.133419949
2587,0.589760814,4.533452163
2301,0.591462875,8.073878338
1055,0.596629653,2.312849769
2617,0.598983094,3.003601756
1182,0.601290038,6.599783223
666,0.606036578,9.37685
27,0.607155046,1.025979269
2727,0.609044585,3.269462767
539,0.609921953,0.623703147
2632,0.614120774,3.803850369
855,0.622080209,5.716299725
3384,0.623438884,7.933845567
2625,0.624238005,2.998760082
616,0.639316988,8.984628231
1068,0.645749073,2.058717899
2289,0.663299885,8.945459826
678,0.670858349,9.034251222
663,0.67139612,9.230657538
524,0.680603716,0.213315933
2621,0.687999906,3.347422283
23,0.703650239,1.782229368
2637,0.708169335,3.704688521
3388,0.711446462,7.401178357
28,0.712672739,1.77350735
948,0.715581583,2.392145786
3396,0.721273218,7.20247795
1187,0.724092074,6.589599858
677,0.727263584,9.991600394
943,0.731112883,2.486562125
24,0.740253985,1.289555163
2306,0.740779512,8.49920036
2307,0.743599768,8.388853262
1062,0.747136798,2.853433892
518,0.759502901,0.229659004
950,0.759715167,2.220294915
1048,0.761126422,2.34457298
672,0.777305037,9.124544737
615,0.788159455,8.53131295
542,0.788885097,0.611773027
3390,0.789457544,7.109739164
1059,0.795517938,2.499228297
531,0.798503694,0.204716746
25,0.803950152,1.646953292
1049,0.804473221,2.538509592
609,0.810214923,8.489706686
856,0.81228494,5.587670539
503,0.826455244,0.668470929
622,0.827793334,8.946643477
521,0.853604462,0.04078327
676,0.858989103,9.858509001
2606,0.86411195,3.958947452
673,0.870949629,9.583544301
1065,0.896735469,2.328393275
2588,0.897813809,4.445235089
537,0.902404662,0.566434676
1050,0.917042879,2.304892074
532,0.920548964,0.989760173
669,0.921002206,9.251734104
2613,0.923276344,3.383436322
505,0.925297917,0.021642238
2631,0.936547579,3.066156679
533,0.940630117,0.752322604
670,0.940872788,9.427808578
513,0.945229854,0.8822168
523,0.952476109,0.217871882
2630,0.960290403,3.418377398
958,0.961971561,2.363549776
3385,0.963047359,7.327020496
1168,0.964916454,6.178979913
944,0.976197446,2.488718647
37,0.976936457,1.185588573
2585,0.988693487,8.26791425
2592,0.989887984,8.578191231
2614,0.991487886,3.041357975
668,1.001615291,9.561531039
207,1.007065165,9.513439882
3269,1.008874169,5.477205763
2379,1.014165302,1.14082089
205,1.017259852,9.276289585
146,1.022376525,3.251515395
2445,1.022660303,2.240550037
2422,1.030020132,0.237653346
2441,1.062945454,2.99251588
2458,1.063667648,2.858191036
3250,1.074485881,4.039758354
471,1.091537633,6.80598064
3368,1.094652976,4.729001366
2272,1.102947202,0.749499564
3372,1.103964945,4.769259391
2281,1.105313546,0.509712525
2596,1.108278351,8.061054139
2450,1.117111471,2.178206327
2368,1.117677059,1.799593699
3251,1.11816896,4.829167521
472,1.123779115,6.844273541
2483,1.129177408,8.348477627
3369,1.143518206,4.147018237
2451,1.146087188,2.531113986
2453,1.155267823,2.700734874
139,1.156378176,3.683912186
2277,1.159427793,0.948558461
2595,1.166399504,8.943648747
201,1.183278512,9.606071038
214,1.191728844,9.761669834
3367,1.200358756,4.857302748
202,1.204077274,9.753577453
2446,1.208529889,2.133399803
2362,1.209541411,1.67123723
485,1.209680683,6.221632714
2438,1.2122728,2.973998705
153,1.214605135,3.987351168
148,1.218495878,3.113659321
2447,1.237648886,2.251895836
213,1.2418725,9.979837342
2423,1.246633586,0.283853894
3265,1.260780535,5.03191813
2276,1.274264039,0.570175282
3255,1.284595323,5.246374919
3360,1.285455164,4.244269333
963,1.286882824,7.837406654
2443,1.290316522,2.697431935
211,1.290953205,9.148945739
2283,1.291190807,0.232865692
3247,1.291641311,4.542203293
198,1.318230338,9.140418122
2414,1.318575996,0.751759964
3252,1.320274762,4.653586316
158,1.332562832,3.678056321
2280,1.336715193,0.953699797
2415,1.338943046,0.578226515
155,1.348397554,3.271630133
2598,1.353626464,8.965916121
3258,1.357408734,4.806407436
2424,1.366706608,0.242728267
2593,1.367839249,8.652777431
2421,1.371980782,0.691142514
3270,1.373747632,5.927698677
208,1.383779964,9.061103632
2358,1.399903825,1.385888655
3371,1.400467753,4.774959325
149,1.406640894,3.083139528
2274,1.41340291,0.34171541
141,1.414999422,3.570576621
133,1.421698403,3.877341123
2597,1.426860531,8.475790639
3262,1.433196179,5.646946392
2440,1.439548989,2.565012171
3373,1.440341401,4.001832869
2600,1.44449656,8.073562825
3256,1.449660178,5.507086917
2265,1.453448958,0.465906625
2591,1.45512797,8.234431254
2434,1.462089991,0.124989129
2416,1.464094472,0.914490633
478,1.466205257,6.71764277
2594,1.474267145,8.655908378
483,1.478280225,6.48131183
964,1.478652842,7.820248888
3263,1.480020855,5.452093783
474,1.501936019,6.902545809
3246,1.502900281,4.204218422
3276,1.511699232,5.160766478
2360,1.514680945,1.257738825
3271,1.51473196,5.932726886
206,1.514760761,9.277858056
2369,1.516036903,1.337897994
140,1.519999465,3.017209661
2428,1.520987293,0.303771426
152,1.522626503,3.327581105
3264,1.526736354,5.593401841
3361,1.531572768,4.735091929
212,1.537163885,9.717377934
130,1.539462366,3.697502409
484,1.540003212,6.83550181
479,1.541517286,6.260109169
3274,1.550584969,5.910385149
144,1.552495315,3.257817636
156,1.554089758,3.467768832
2604,1.555968512,8.108724965
953,1.556119384,7.268661547
2372,1.557907168,1.418432514
2370,1.55897992,1.220296798
965,1.568483377,7.001496595
3268,1.594388916,5.68077896
3267,1.605774901,5.434572033
157,1.61425226,3.260953342
128,1.617810642,3.276806608
2359,1.61814327,1.169440916
3261,1.623733545,4.846446086
150,1.630868113,3.554264342
136,1.632131788,3.438310541
2366,1.642612873,1.387231398
194,1.6461885,9.743724704
2442,1.651148765,2.211143619
2602,1.65456155,8.973325133
191,1.662786129,9.579246569
2279,1.684809673,0.058135835
2448,1.68830148,2.172436314
3254,1.688835115,4.04763138
2353,1.695467589,1.990915424
473,1.706330718,6.566727452
138,1.710153868,3.708834595
3277,1.724705153,5.477112038
134,1.726277164,3.609055103
2439,1.736527478,2.709610959
3257,1.737993336,5.036657241
3259,1.74069782,4.411860604
2278,1.744683833,0.831002125
3249,1.746474084,4.548277971
2449,1.757866161,2.710810052
204,1.759563058,9.675847055
2284,1.759849634,0.704867854
2378,1.774290227,1.586515296
2601,1.776785416,8.453570107
2605,1.782650262,8.033628465
3275,1.790889009,5.232283362
2482,1.79478393,8.453342183
2367,1.797177958,1.458278627
142,1.800053852,3.331995487
2418,1.806944494,0.502232926
2364,1.808499498,1.053619606
480,1.817538102,6.382714149
2425,1.818867961,0.634013049
2590,1.819604467,8.960991876
129,1.822548769,3.867772981
2426,1.827176735,0.60491973
147,1.828087029,3.900727371
2361,1.828515932,1.847459325
2417,1.829485545,0.135629223
143,1.83569503,3.209365661
2419,1.843125181,0.803639838
2270,1.8443011,0.490552369
3370,1.849874572,4.960599432
137,1.853885552,3.291466599
477,1.854846575,6.467241655
2371,1.86243904,1.159797326
2380,1.8679261,1.340154563
199,1.868308059,9.519803408
2420,1.870226133,0.171530881
2273,1.87060008,0.087005346
954,1.884633922,7.571499533
197,1.885401067,9.966904292
2429,1.885731513,0.072271408
2427,1.886405526,0.371986884
3266,1.887935901,5.893175745
2603,1.890580392,8.288740211
200,1.894934255,9.229855372
2285,1.901434469,0.217539443
127,1.904084603,3.13463665
3253,1.911933674,4.316541054
2599,1.915285166,8.696935709
3248,1.919779901,4.726306394
2444,1.926852112,2.239003979
2452,1.927045063,2.315989077
193,1.931060335,9.151618036
2373,1.931403307,1.604595818
2282,1.93579606,0.115328613
2271,1.940800211,0.859225299
203,1.941377042,9.015176731
3260,1.942085169,4.913501653
3272,1.942845297,5.355009765
145,1.9462056,3.619443099
486,1.95201449,6.278802282
2275,1.955098342,0.938538163
192,1.958292879,9.446993012
2365,1.960007986,1.136773089
2363,1.962030222,1.122067792
151,1.977414124,3.06585253
3366,1.977660867,4.320362283
1003,1.996770289,1.450350109
1261,1.999276722,5.862003384
3083,2.001933338,4.702755822
382,2.001943351,0.100365086
3098,2.002279855,4.786393686
135,2.003820955,3.416597209
