Point,xcoord,ycoord
244,6.85191036,10.0705866
245,6.238504637,11.00441728
246,9.196154899,11.82305565
247,9.622243151,11.31220552
248,9.825121004,11.55883812
249,9.920700062,11.280386
250,4.653072093,12.81903676
251,4.971722107,12.50119387
252,4.41730557,12.30169378
253,4.192879705,12.84206792
254,6.856656752,12.68086346
255,6.849972872,12.3137659
256,6.138422017,12.74174762
257,6.303735742,12.57492571
258,4.748347506,8.54654816
259,4.380535798,8.229275615
260,4.75367656,8.629505755
261,4.534620167,8.102885113
262,8.045330863,8.411813716
263,8.31762765,8.410082931
264,8.109111495,8.378573757
265,8.728080716,8.720716878
266,5.676853712,13.76253731
267,5.70652426,13.21915675
268,5.392064026,13.9104704
269,5.450210705,13.77041297
270,5.20696948,13.68032755
271,5.996738736,13.55931889
272,5.433711409,13.13448993
273,5.815043193,13.68625364
274,5.525187442,13.45311882
275,6.514843138,13.18564299
276,6.980369346,13.29213395
277,6.346911589,13.83352094
278,6.634702402,13.00410112
279,6.695018303,13.79661134
280,6.79385233,12.9919032
281,6.684417835,13.72332676
282,6.606119022,13.09720445
283,6.297716737,13.23815966
284,6.890360014,13.37278532
285,6.710477341,13.57884637
286,6.487312254,13.62178306
287,6.059916397,13.08684081
288,6.209643737,13.45429315
289,6.696774984,13.95056543
290,6.779443129,13.08458009
291,6.293406932,13.57131132
292,6.114939358,13.30710692
293,6.96962334,13.14285033
294,6.958331391,13.83441757
295,6.925659173,13.39133603
296,6.425607769,13.73745953
297,6.138552903,13.18016759
298,6.098234165,13.90232403
299,6.586924388,13.07548713
300,6.410461749,13.65261301
301,6.53947095,13.80331952
302,6.535535121,11.55702787
303,6.677825233,11.77429962
304,6.070567441,11.18109736
305,6.067451831,11.17990811
306,6.855378987,11.8549082
307,6.707440795,11.65846828
308,6.50547801,11.55842851
309,6.862899344,11.410206
310,6.036372498,11.07299178
311,6.36620974,11.27122427
312,6.452004016,11.79582368
313,6.529586926,11.03566244
314,0.300385322,2.500207039
315,7.409781117,3.766699111
316,2.111381206,4.388839752
317,6.310429384,4.581974633
318,1.561757421,6.879227217
319,7.251769904,10.0629347
320,10.74884438,12.1593445
321,7.357756199,13.78241284
322,8.423172205,13.78322428
323,3.542781604,15.16324766
324,5.284683325,15.3371692
325,9.103103823,16.24645714
326,2.425335254,7.961567095
327,9.224943224,7.114430624
328,5.598813291,8.205114628
329,2.83878056,9.37054657
330,10.70526879,7.236836338
331,8.481674935,15.82262595
332,3.059677588,2.236668686
333,3.515216965,2.434177305
334,3.614213478,2.710483125
335,3.182393848,2.432112572
336,3.817616509,2.307047364
337,3.352028389,2.911710904
338,3.604205062,2.038717711
339,3.584241909,2.47373184
340,3.01753516,2.412399756
341,3.102411882,2.41010524
342,3.172757224,2.481815887
343,3.0150824,2.240174114
344,3.304660897,6.448860004
345,3.106179639,6.748143546
346,3.583910484,6.325628145
347,3.927850477,6.164501896
348,3.576478454,6.415056404
349,3.145942519,6.221020065
350,3.488072809,6.10142728
351,3.033922303,6.830653356
352,3.312251247,6.763204047
353,3.358391279,6.831652949
354,3.969170054,6.718641767
