desiredholes, actualholes, successrate
0, 0, 0
1, 1, 1.39
4, 4, 5.65
7, 7, 9.21
10, 10, 13.24
13, 13, 17.47
16, 16, 21.36
19, 19, 25.2
22, 22, 28.93
25, 25, 32.5
28, 28, 35.6
31, 31, 39.88
41, 41, 49.91
51, 51, 57.24
61, 61, 65.62
71, 71, 72.83
81, 81, 77.81
91, 91, 81.89
101, 101, 85.03
111, 111, 88.48
121, 121, 90.68
131, 131, 92.89
141, 141, 94.85
151, 151, 95.75
161, 161, 96.42
171, 171, 97.18
181, 181, 97.94
191, 191, 98.27
201, 201, 98.93
211, 211, 99.2
221, 221, 99.51
231, 231, 99.58
241, 241, 99.6
251, 251, 99.72
261, 261, 99.78
271, 271, 99.79
281, 281, 99.87
291, 291, 99.94
301, 301, 99.99
311, 311, 100.0
