desiredholes, actualholes, successrate
0, 0, 0
1, 1, 1.72
2, 2, 3.37
3, 4, 5.64
6, 6, 9.25
8, 9, 13.12
11, 12, 17.45
15, 16, 22.36
18, 20, 27.72
24, 25, 30.47
26, 30, 36.99
36, 36, 42.1
37, 42, 47.35
49, 48, 53.97
50, 56, 57.61
63, 63, 63.67
66, 72, 67.29
78, 80, 72.33
85, 90, 75.33
95, 99, 79.7
105, 110, 82.19
114, 120, 86.35
129, 132, 87.44
135, 143, 90.48
154, 156, 91.93
157, 168, 93.9
182, 195, 96.4
208, 208, 97.67
212, 224, 97.99
235, 238, 98.58
244, 255, 98.64
265, 270, 99.32
279, 288, 99.29
296, 304, 99.83
316, 323, 99.78
328, 340, 99.99
355, 360, 99.99
363, 378, 99.99
397, 399, 100.0
