desiredholes, actualholes, successrate
0, 0, 0
1, 1, 1.23
4, 4, 4.83
7, 7, 8.58
10, 10, 12.64
13, 13, 15.49
16, 16, 18.5
19, 19, 22.68
22, 22, 25.86
25, 25, 27.87
28, 28, 30.37
31, 31, 33.6
41, 41, 42.82
51, 51, 48.34
61, 61, 54.46
71, 71, 59.57
81, 81, 65.42
91, 91, 69.84
101, 101, 72.03
111, 111, 75.37
121, 121, 78.77
131, 131, 79.96
141, 141, 83.15
151, 151, 85.3
161, 161, 86.65
171, 171, 88.26
181, 181, 89.74
191, 191, 91.01
201, 201, 91.91
211, 211, 92.65
221, 221, 93.5
231, 231, 94.26
241, 241, 94.8
251, 251, 95.58
261, 261, 96.46
271, 271, 96.38
281, 281, 97.11
291, 291, 97.22
301, 301, 97.48
311, 311, 97.75
321, 321, 98.04
331, 331, 98.15
341, 341, 98.5
351, 351, 98.69
361, 361, 98.77
371, 371, 98.88
381, 381, 99.08
391, 391, 99.24
401, 401, 99.29
411, 411, 99.41
421, 421, 99.42
431, 431, 99.56
441, 441, 99.54
451, 451, 99.57
461, 461, 99.6
471, 471, 99.8
481, 481, 99.69
491, 491, 99.73
501, 501, 99.79
511, 511, 99.8
521, 521, 99.82
531, 531, 99.84
541, 541, 99.84
551, 551, 99.86
561, 561, 99.88
571, 571, 99.9
581, 581, 99.95
591, 591, 99.94
601, 601, 99.92
611, 611, 99.96
621, 621, 99.96
631, 631, 99.99
641, 641, 99.92
651, 651, 99.93
661, 661, 99.97
671, 671, 99.99
681, 681, 99.98
691, 691, 99.98
701, 701, 99.98
711, 711, 99.99
721, 721, 99.97
731, 731, 100.0
