desiredholes, actualholes, successrate
0, 0, 0
1, 1, 2.43
4, 4, 7.76
7, 7, 12.23
10, 10, 16.26
13, 13, 21.01
16, 16, 25.1
19, 19, 29.58
22, 22, 32.98
25, 25, 37.58
28, 28, 41.21
31, 31, 45.6
41, 41, 53.95
51, 51, 61.34
61, 61, 69.26
71, 71, 75.17
81, 81, 79.07
91, 91, 83.48
101, 101, 86.53
111, 111, 88.38
121, 121, 90.01
131, 131, 91.18
141, 141, 92.69
151, 151, 93.91
161, 161, 95.13
171, 171, 95.13
181, 181, 95.74
191, 191, 96.22
201, 201, 96.54
211, 211, 97.02
221, 221, 97.16
231, 231, 96.92
241, 241, 97.53
251, 251, 97.56
261, 261, 97.6
271, 271, 98.16
281, 281, 98.0
291, 291, 98.25
301, 301, 98.22
311, 311, 98.62
321, 321, 98.5
331, 331, 98.62
341, 341, 98.9
351, 351, 98.93
361, 361, 99.06
371, 371, 99.11
381, 381, 99.14
391, 391, 99.28
401, 401, 99.52
411, 411, 99.4
421, 421, 99.46
431, 431, 99.55
441, 441, 99.55
451, 451, 99.72
461, 461, 99.64
471, 471, 99.69
481, 481, 99.83
491, 491, 99.84
501, 501, 99.83
511, 511, 99.85
521, 521, 99.88
531, 531, 99.93
541, 541, 99.95
551, 551, 99.92
561, 561, 99.95
571, 571, 99.97
581, 581, 99.98
591, 591, 99.95
601, 601, 99.97
611, 611, 99.96
621, 621, 99.97
631, 631, 99.99
641, 641, 99.97
651, 651, 99.98
661, 661, 100.0
