desiredholes, actualholes, successrate
0, 0, 0
1, 1, 2.09
2, 2, 2.56
4, 4, 5.69
5, 6, 8.44
9, 12, 16.07
16, 15, 16.68
17, 20, 21.81
24, 24, 23.36
26, 30, 28.81
34, 35, 28.35
39, 42, 34.4
45, 48, 32.68
53, 56, 39.65
59, 63, 39.43
70, 72, 45.58
74, 80, 44.71
89, 90, 50.39
91, 99, 50.95
109, 108, 51.08
110, 120, 55.5
130, 130, 56.97
134, 143, 61.85
152, 154, 61.58
160, 168, 67.14
175, 180, 65.99
188, 195, 72.84
201, 208, 72.34
219, 224, 78.04
228, 238, 78.08
252, 255, 83.97
257, 270, 84.5
287, 288, 90.21
288, 304, 89.55
320, 320, 90.11
324, 340, 95.34
354, 357, 95.06
364, 378, 99.54
390, 396, 99.7
406, 418, 99.87
428, 437, 99.83
451, 460, 100.0
