desiredholes, actualholes, successrate
0, 0, 0
1, 1, 1.67
2, 2, 2.85
3, 4, 6.35
6, 6, 7.92
8, 9, 12.84
11, 12, 16.29
15, 16, 21.66
18, 20, 25.0
24, 25, 30.98
26, 30, 34.33
36, 36, 42.47
37, 42, 45.48
49, 48, 49.71
50, 56, 55.18
63, 63, 59.08
66, 72, 65.19
78, 80, 67.7
85, 90, 72.87
95, 99, 75.6
105, 110, 80.49
114, 120, 81.95
129, 132, 86.13
135, 143, 87.77
154, 156, 90.92
157, 168, 91.15
182, 195, 94.01
208, 208, 94.74
212, 224, 96.26
235, 238, 96.58
244, 255, 97.83
265, 270, 98.01
279, 288, 98.39
296, 304, 98.8
316, 323, 99.06
328, 340, 99.24
355, 360, 99.47
363, 378, 99.52
397, 399, 99.87
399, 418, 99.86
437, 437, 99.83
441, 460, 100.0
