desiredholes, actualholes, successrate
0, 0, 0
1, 1, 1.53
4, 4, 6.17
7, 7, 10.46
10, 10, 14.42
13, 13, 18.23
16, 16, 22.75
19, 19, 25.89
22, 22, 28.48
25, 25, 32.37
28, 28, 35.91
31, 31, 38.75
41, 41, 49.13
51, 51, 55.7
61, 61, 64.91
71, 71, 71.02
81, 81, 76.5
91, 91, 81.02
101, 101, 84.57
111, 111, 87.32
121, 121, 90.02
131, 131, 91.75
141, 141, 93.43
151, 151, 94.82
161, 161, 95.94
171, 171, 96.8
181, 181, 97.7
191, 191, 98.26
201, 201, 98.7
211, 211, 99.21
221, 221, 99.43
231, 231, 99.43
241, 241, 99.51
251, 251, 99.64
261, 261, 99.74
271, 271, 99.78
281, 281, 99.81
291, 291, 99.88
301, 301, 99.93
311, 311, 99.97
321, 321, 99.99
331, 331, 99.96
341, 341, 99.99
351, 351, 99.98
361, 361, 99.99
371, 371, 99.99
381, 381, 99.99
391, 391, 99.99
401, 401, 100.0
