desiredholes, actualholes, successrate
0, 0, 0
1, 1, 1.49
2, 2, 3.47
3, 4, 5.92
6, 6, 9.24
8, 9, 13.13
11, 12, 17.98
15, 16, 23.13
18, 20, 28.61
24, 25, 28.12
26, 30, 33.56
36, 36, 33.77
37, 42, 38.39
49, 48, 44.57
50, 56, 44.1
63, 63, 50.48
66, 72, 50.78
78, 80, 55.86
85, 90, 56.6
95, 99, 61.27
105, 110, 62.12
114, 120, 67.46
129, 132, 67.1
135, 143, 72.57
154, 156, 72.94
157, 168, 78.61
182, 195, 83.67
208, 208, 89.83
212, 224, 89.54
235, 238, 95.2
244, 255, 94.89
265, 270, 99.49
279, 288, 99.56
296, 304, 99.76
316, 323, 99.85
328, 340, 100.0
