desiredholes, actualholes, successrate
0, 0, 0
1, 1, 1.93
2, 2, 3.44
4, 4, 5.5
5, 6, 8.86
9, 12, 11.12
16, 15, 13.94
17, 20, 13.23
24, 24, 16.61
26, 30, 16.69
34, 35, 19.93
39, 42, 19.34
45, 48, 22.29
53, 56, 22.7
59, 63, 25.37
70, 72, 25.42
74, 80, 27.91
89, 90, 27.57
91, 99, 30.8
109, 108, 33.04
110, 120, 33.83
130, 130, 37.01
134, 143, 36.26
152, 154, 39.28
160, 168, 38.42
175, 180, 42.22
188, 195, 41.41
201, 208, 44.04
219, 224, 44.82
228, 238, 48.35
252, 255, 47.84
257, 270, 50.5
287, 288, 50.33
288, 304, 52.77
320, 320, 55.19
324, 340, 57.16
354, 357, 59.38
364, 378, 58.76
390, 396, 61.48
406, 418, 60.87
428, 437, 63.9
451, 460, 64.09
467, 480, 65.87
498, 504, 66.94
508, 525, 68.41
547, 550, 69.47
551, 572, 72.15
595, 594, 74.76
598, 621, 74.54
642, 644, 76.88
652, 672, 76.33
690, 696, 79.99
708, 725, 79.29
739, 750, 82.68
766, 780, 82.47
791, 806, 84.81
827, 837, 85.66
844, 864, 88.02
890, 896, 87.35
899, 924, 90.34
955, 957, 90.76
956, 986, 93.32
1014, 1015, 95.79
1022, 1050, 95.97
1074, 1080, 98.74
1092, 1116, 98.66
1136, 1147, 100.0
