Artefact Density,Effort Ratio,Maximum Difference in Success (percentage points),Maximum Break-Even Ratio (0.25m² to 1m²),Mean Break-Even Ratio (0.25m² to 1m²),Optimal Test Pit Size
High (96.8/m²),1:1,-8,1.2:1,1.1:1,1m²
High (96.8/m²),2:1,33,-,-,0.25m²
High (96.8/m²),3:1,49,-,-,0.25m²
High (96.8/m²),4:1,58,-,-,0.25m²
