desiredholes, actualholes, successrate
0, 0, 0
1, 1, 0.16666666666666666
2, 2, 0.4666666666666667
3, 4, 1.1
6, 6, 2.2666666666666666
8, 9, 2.8333333333333335
11, 12, 3.466666666666667
15, 16, 4.933333333333334
18, 20, 5.833333333333333
24, 25, 7.533333333333333
26, 30, 9.233333333333333
36, 36, 10.266666666666667
37, 42, 12.133333333333333
49, 48, 12.766666666666667
50, 56, 15.433333333333334
63, 63, 16.933333333333334
66, 72, 22.3
78, 80, 22.133333333333333
85, 90, 25.0
95, 99, 27.666666666666668
105, 110, 29.033333333333335
114, 120, 31.766666666666666
129, 132, 37.266666666666666
135, 143, 39.2
154, 156, 41.8
157, 168, 46.46666666666667
182, 195, 51.8
208, 208, 56.666666666666664
212, 224, 57.1
235, 238, 61.53333333333333
244, 255, 66.56666666666666
265, 270, 68.4
279, 288, 71.76666666666667
296, 304, 74.83333333333333
316, 323, 76.5
328, 340, 81.16666666666667
355, 360, 83.66666666666667
363, 378, 86.66666666666667
397, 399, 88.6
399, 418, 90.7
437, 437, 93.13333333333334
441, 460, 93.3
477, 480, 95.2
487, 504, 94.73333333333333
519, 525, 96.33333333333333
536, 550, 96.43333333333334
562, 572, 97.56666666666666
587, 598, 98.16666666666667
607, 621, 98.1
640, 648, 98.5
654, 672, 98.53333333333333
696, 700, 99.2
702, 725, 99.13333333333334
752, 750, 99.5
753, 780, 99.5
804, 806, 99.83333333333333
813, 837, 99.76666666666667
858, 864, 99.86666666666666
876, 896, 99.86666666666666
913, 924, 99.96666666666667
941, 957, 99.96666666666667
970, 986, 99.96666666666667
1008, 1020, 100.0
