ratio, randomisedStaggerXY, halton, random
-500.0, 98.11800357142823, 98.83663452380937, 98.38637857142848
-316.25104500000003, 98.122573809523, 98.81265714285706, 98.35974761904777
-199.52244500000003, 98.0782380952384, 98.73009404761935, 98.27710000000039
-125.90162000000001, 98.05020357142841, 98.63967142857138, 98.17929047619043
-79.44098, 98.05021428571442, 98.5658940476191, 98.06683214285707
-50.117779999999996, 98.05221904761893, 98.5100476190476, 97.96060000000006
-31.626124999999995, 98.0881083333331, 98.45556785714285, 97.86013214285718
-19.96002, 98.14966666666668, 98.37547142857143, 97.73706785714285
-12.592845, 98.21892619047618, 98.32125952380952, 97.63864285714283
-7.937999999999999, 98.32960357142856, 98.27686547619047, 97.56328214285712
-6.305645000000001, 98.3686357142857, 98.24792023809523, 97.52041904761899
-5.010005, 98.41817976190474, 98.2132392857143, 97.48612023809525
-3.9783200000000005, 98.44723333333333, 98.18896428571429, 97.45454166666664
-3.1601250000000003, 98.43930476190475, 98.15742619047617, 97.43837619047619
-2.513405, 98.40568690476191, 98.14612261904762, 97.41235119047617
-1.99712, 98.34465833333331, 98.13609523809525, 97.38442142857143
-1.5848449999999998, 98.31374404761904, 98.13244166666667, 97.37449523809522
-1.2600199999999997, 98.31085952380951, 98.12512380952381, 97.37601309523811
-0.999045, 98.32763452380954, 98.11199642857144, 97.37584880952379
1.262594378929825, 98.33790714285712, 98.10890238095237, 97.37457142857137
1.5869867089863126, 98.32100595238092, 98.10230476190476, 97.37380357142857
2.00288415318058, 98.33332499999999, 98.11231071428573, 97.38671547619043
2.5149640360142853, 98.34376904761902, 98.13584523809524, 97.41154285714286
3.1494079113126734, 98.40073809523811, 98.1516869047619, 97.42770595238093
3.985969387755101, 98.46599642857144, 98.17642499999998, 97.45170714285713
5.0, 98.49053214285712, 98.19988095238097, 97.48759285714281
6.312334301224592, 98.4684380952381, 98.23091904761905, 97.51722976190474
7.911079466793243, 98.43481785714286, 98.2597380952381, 97.55255238095236
12.597631645250694, 98.36205595238094, 98.31214047619046, 97.64223571428569
20.0, 98.3058607142857, 98.39085952380951, 97.74227380952381
31.25, 98.2537654761905, 98.45141190476194, 97.84064523809523
50.390526581002774, 98.23339285714289, 98.5196154761905, 97.96363928571434
80.0, 98.23848452380915, 98.58659523809521, 98.07411428571429
125.0, 98.25791785714301, 98.66333809523806, 98.17771547619046
195.3125, 98.29178333333357, 98.70384642857212, 98.27197142857177
320.0, 98.35991428571482, 98.77979285714318, 98.36345833333374
500.0, 98.3725142857148, 98.77309404761957, 98.37841309523854
