desiredholes, actualholes, successrate
0, 0, 0
1, 1, 0.2
4, 4, 0.6333333333333333
7, 7, 1.8
10, 10, 2.6666666666666665
13, 13, 3.8
16, 16, 4.133333333333334
19, 19, 5.633333333333334
22, 22, 6.666666666666667
25, 25, 6.8
28, 28, 7.966666666666667
31, 31, 9.066666666666666
41, 41, 10.566666666666666
51, 51, 13.466666666666667
61, 61, 16.033333333333335
71, 71, 19.566666666666666
81, 81, 21.233333333333334
91, 91, 25.666666666666668
101, 101, 26.8
111, 111, 28.933333333333334
121, 121, 31.0
131, 131, 32.63333333333333
141, 141, 35.266666666666666
151, 151, 38.0
161, 161, 39.833333333333336
171, 171, 41.06666666666667
181, 181, 43.36666666666667
191, 191, 45.9
201, 201, 49.766666666666666
211, 211, 50.7
221, 221, 52.666666666666664
231, 231, 53.166666666666664
241, 241, 54.13333333333333
251, 251, 57.13333333333333
261, 261, 58.333333333333336
271, 271, 59.86666666666667
281, 281, 62.8
291, 291, 62.53333333333333
301, 301, 66.6
311, 311, 66.33333333333333
321, 321, 69.16666666666667
331, 331, 67.53333333333333
341, 341, 71.5
351, 351, 71.2
361, 361, 72.23333333333333
371, 371, 73.5
381, 381, 74.6
391, 391, 76.96666666666667
401, 401, 77.6
411, 411, 79.9
421, 421, 79.4
431, 431, 79.56666666666666
441, 441, 82.93333333333334
451, 451, 81.43333333333334
461, 461, 83.16666666666667
471, 471, 83.36666666666666
481, 481, 83.73333333333333
491, 491, 84.03333333333333
501, 501, 85.73333333333333
511, 511, 85.6
521, 521, 87.26666666666667
531, 531, 87.3
541, 541, 87.33333333333333
551, 551, 87.8
561, 561, 88.63333333333334
571, 571, 90.0
581, 581, 90.06666666666666
591, 591, 90.1
601, 601, 91.03333333333333
611, 611, 91.03333333333333
621, 621, 91.5
631, 631, 91.86666666666666
641, 641, 92.76666666666667
651, 651, 93.8
661, 661, 93.4
671, 671, 94.06666666666666
681, 681, 94.93333333333334
691, 691, 94.8
701, 701, 94.7
711, 711, 94.63333333333334
721, 721, 95.43333333333334
731, 731, 95.8
741, 741, 96.33333333333333
751, 751, 96.66666666666667
761, 761, 96.66666666666667
771, 771, 96.66666666666667
781, 781, 97.8
791, 791, 97.0
801, 801, 97.56666666666666
811, 811, 98.03333333333333
821, 821, 98.5
831, 831, 97.83333333333333
841, 841, 98.56666666666666
851, 851, 98.16666666666667
861, 861, 98.46666666666667
871, 871, 98.76666666666667
881, 881, 99.0
891, 891, 98.66666666666667
901, 901, 98.7
911, 911, 98.73333333333333
921, 921, 98.93333333333334
931, 931, 98.5
941, 941, 99.06666666666666
951, 951, 99.4
961, 961, 98.76666666666667
971, 971, 99.13333333333334
981, 981, 99.16666666666667
991, 991, 99.36666666666666
1001, 1001, 99.33333333333333
1011, 1011, 99.26666666666667
1021, 1021, 99.43333333333334
1031, 1031, 99.6
1041, 1041, 99.16666666666667
1051, 1051, 99.6
1061, 1061, 99.66666666666667
1071, 1071, 99.53333333333333
1081, 1081, 99.46666666666667
1091, 1091, 99.7
1101, 1101, 99.6
1111, 1111, 99.43333333333334
1121, 1121, 99.63333333333334
1131, 1131, 99.53333333333333
1141, 1141, 99.6
1151, 1151, 99.9
1161, 1161, 99.7
1171, 1171, 99.66666666666667
1181, 1181, 99.8
1191, 1191, 99.8
1201, 1201, 99.8
1211, 1211, 99.86666666666666
1221, 1221, 99.86666666666666
1231, 1231, 99.9
1241, 1241, 99.83333333333333
1251, 1251, 99.93333333333334
1261, 1261, 99.9
1271, 1271, 99.86666666666666
1281, 1281, 99.9
1291, 1291, 99.96666666666667
1301, 1301, 99.96666666666667
1311, 1311, 100.0
