desiredholes, actualholes, successrate
0, 0, 0
1, 1, 0.11
2, 2, 0.29
4, 4, 0.55
5, 6, 0.87
9, 12, 1.84
16, 15, 2.13
17, 20, 3.01
24, 24, 3.38
26, 30, 4.26
34, 35, 5.29
39, 42, 6.12
45, 48, 7.04
53, 56, 8.03
59, 63, 8.82
70, 72, 11.04
74, 80, 11.5
89, 90, 12.98
91, 99, 13.41
109, 108, 15.58
110, 120, 17.11
130, 130, 18.9
134, 143, 19.97
152, 154, 21.66
160, 168, 24.04
175, 180, 25.72
188, 195, 28.0
201, 208, 29.81
219, 224, 31.57
228, 238, 34.01
252, 255, 35.45
257, 270, 38.13
287, 288, 39.44
288, 304, 42.62
320, 320, 44.0
324, 340, 47.35
354, 357, 49.46
364, 378, 51.87
390, 396, 54.26
406, 418, 57.23
428, 437, 59.7
451, 460, 63.16
467, 480, 66.08
498, 504, 68.49
508, 525, 72.01
547, 550, 75.5
551, 572, 77.84
595, 594, 80.52
598, 621, 84.02
642, 644, 87.79
652, 672, 91.0
690, 696, 93.32
708, 725, 95.71
739, 750, 97.07
766, 780, 98.06
791, 806, 98.83
827, 837, 99.7
844, 864, 99.95
890, 896, 100.0
