ratio, hexlike, staggerXY, randomisedStaggerXY8, halton, random
-40.00000000000001, 4.590733333333333, 4.974, 4.913399999999999, 5.5276, 5.389199999999999
-35.481338923357505, 4.584533333333333, 4.987, 4.9204, 5.515600000000001, 5.3596
-25.11886431509578, 4.2652, 4.662599999999999, 4.5764, 5.1892, 4.8364
-17.782794100389218, 4.1411333333333324, 4.442, 4.262600000000001, 4.7616, 4.6032
-12.589254117941667, 3.956066666666666, 4.2012, 4.2372000000000005, 4.42, 4.1804
-9.999999999999998, 3.8064666666666658, 4.094600000000001, 4.1386, 4.3244, 4.1632
-7.943282347242813, 3.961133333333334, 3.9866, 4.0436000000000005, 4.096, 4.0032
-6.309573444801931, 3.924266666666666, 3.8449999999999993, 3.893199999999999, 4.0976, 3.9052
-5.011872336272722, 3.7077333333333335, 3.6672, 3.9277999999999995, 3.928399999999999, 3.9019999999999997
-3.9810717055349714, 3.664466666666667, 3.8031999999999995, 3.7894, 3.6520000000000006, 3.6191999999999998
-3.16227766016838, 3.7044000000000006, 3.7634, 3.6474, 3.7532000000000005, 3.5448000000000004
-2.51188643150958, 3.7616, 3.6656000000000004, 3.5307999999999993, 3.7404, 3.585200000000001
-1.99526231496888, 3.4786, 3.5691999999999995, 3.6776000000000004, 3.7744, 3.572
-1.5848931924611138, 3.5309333333333335, 3.555799999999999, 3.5354, 3.532800000000001, 3.5527999999999995
-1.258925411794167, 3.4934000000000003, 3.3824, 3.604599999999999, 3.514, 3.5023999999999997
-1.0, 3.6057333333333332, 3.448, 3.4078, 3.5632000000000006, 3.4263999999999997
1.258925411794167, 3.469866666666667, 3.5715999999999997, 3.5324, 3.516, 3.4216000000000006
1.5848931924611138, 3.6445999999999996, 3.5652000000000004, 3.5556, 3.5047999999999995, 3.422800000000001
1.99526231496888, 3.5733333333333337, 3.4382000000000006, 3.585, 3.6068000000000007, 3.3708
2.51188643150958, 3.5608000000000004, 3.6026, 3.6462, 3.6592, 3.5063999999999993
3.1622776601683804, 3.5876, 3.700999999999999, 3.6462, 3.5751999999999997, 3.5984000000000007
3.9810717055349714, 3.7966666666666664, 3.8096000000000005, 3.7406000000000006, 3.7747999999999995, 3.7444000000000006
5.011872336272722, 3.688066666666667, 3.8438000000000003, 4.0474000000000006, 3.9084000000000008, 3.8623999999999996
6.309573444801931, 3.9738666666666673, 4.1015999999999995, 3.867399999999999, 3.9592, 3.87
7.943282347242813, 4.041533333333333, 4.0443999999999996, 3.9944000000000006, 4.1388, 4.0076
9.999999999999998, 4.176866666666666, 4.269800000000001, 4.214600000000001, 4.3396, 4.1812000000000005
12.589254117941667, 4.2124, 4.131600000000001, 4.210000000000001, 4.3504, 4.2871999999999995
17.782794100389214, 4.530600000000001, 4.432999999999999, 4.3877999999999995, 4.7704, 4.496
25.11886431509578, 4.638199999999999, 4.6992, 4.6246, 5.113599999999999, 5.0952
35.481338923357505, 4.715199999999999, 4.9628, 4.927600000000001, 5.4848, 5.3268
40.00000000000001, 4.441866666666666, 5.2158000000000015, 5.182399999999999, 5.590800000000001, 5.353599999999999
