ratio, hexlike, staggerXY, randomisedStaggerXY8, halton, random
-40.005625, 11.829, 13.1622, 17.07, 21.8216, 18.688399999999998
-31.618128999999996, 12.681066666666666, 14.477, 17.265400000000003, 21.603999999999996, 18.2604
-19.954089000000003, 14.583866666666665, 16.5638, 17.321399999999997, 20.467200000000002, 17.544
-12.588303999999997, 16.076, 17.792599999999997, 17.564, 19.506800000000002, 17.342799999999997
-7.941123999999999, 16.03573333333333, 17.3684, 17.195, 18.973599999999998, 16.4996
-6.310144, 15.93, 17.3342, 17.2494, 18.606400000000004, 16.4316
-5.013121000000001, 15.814933333333334, 16.668, 16.7594, 18.362399999999997, 16.387600000000003
-3.9800249999999995, 15.828666666666669, 16.895, 17.0336, 18.031200000000002, 16.158399999999997
-3.1612840000000006, 15.907866666666669, 16.702, 16.912, 17.8252, 16.0612
-2.512225, 15.953199999999999, 16.9284, 16.827599999999997, 17.371199999999998, 15.883200000000002
-1.9965690000000003, 16.197866666666663, 17.014200000000002, 16.946399999999997, 17.3216, 15.5712
-1.585081, 16.3388, 16.9548, 17.2126, 17.38, 15.547600000000003
-1.2588840000000001, 17.180933333333332, 17.2106, 17.273800000000005, 17.1748, 15.477600000000002
-1.0, 17.250266666666665, 17.1612, 17.280800000000003, 16.994000000000003, 15.424399999999997
1.2596346303791122, 17.462133333333334, 17.35, 17.299, 17.081200000000003, 15.453199999999999
1.586203833537425, 17.573800000000002, 17.362, 17.1914, 17.3656, 15.703600000000002
1.9949567493376743, 17.24233333333333, 17.338800000000003, 17.079000000000004, 17.24, 15.629600000000003
2.511546836581182, 17.371133333333333, 17.145799999999998, 17.1314, 17.678800000000003, 15.794400000000003
3.1661199832828864, 17.110733333333336, 17.2406, 17.017200000000003, 17.590400000000002, 15.872
3.984047872319234, 17.377266666666667, 17.188599999999997, 17.0, 17.854, 16.2768
5.004779564484083, 17.430933333333336, 17.4404, 17.4082, 18.235599999999998, 16.1708
6.312971894649126, 16.212466666666668, 17.3614, 17.4482, 18.359599999999997, 16.6164
7.934933544931562, 15.822399999999998, 17.767, 17.3966, 18.528, 16.7792
12.574820180071425, 13.520933333333335, 18.1236, 17.6544, 19.624399999999998, 17.1296
19.929846938775505, 11.084000000000001, 17.511799999999997, 17.9598, 20.833199999999998, 17.902400000000004
31.561671506122963, 9.385866666666667, 16.025199999999998, 17.5904, 21.418400000000002, 18.511200000000002
40.0576830636116, 8.5748, 14.800600000000001, 17.851, 21.764399999999995, 18.6908
