desiredholes, actualholes, successrate
0, 0, 0
1, 1, 1.79
2, 2, 3.29
3, 4, 5.98
6, 6, 8.73
8, 9, 13.69
11, 12, 14.35
15, 16, 18.8
18, 20, 18.76
24, 25, 23.5
26, 30, 22.66
36, 36, 27.83
37, 42, 27.43
49, 48, 29.466666666666665
50, 56, 34.53333333333333
63, 63, 31.9
66, 72, 37.166666666666664
78, 80, 37.3
85, 90, 42.666666666666664
95, 99, 40.93333333333333
105, 110, 46.2
114, 120, 47.1
129, 132, 52.13333333333333
135, 143, 50.0
154, 156, 53.93333333333333
157, 168, 55.56666666666667
182, 195, 59.733333333333334
208, 208, 59.0
212, 224, 64.66666666666667
235, 238, 65.2
244, 255, 69.76666666666667
265, 270, 68.5
279, 288, 73.7
296, 304, 75.5
316, 323, 78.5
328, 340, 78.96666666666667
355, 360, 83.43333333333334
363, 378, 82.53333333333333
397, 399, 88.56666666666666
399, 418, 87.86666666666666
437, 437, 87.76666666666667
441, 460, 92.2
477, 480, 93.16666666666667
487, 504, 97.03333333333333
519, 525, 97.46666666666667
536, 550, 99.56666666666666
562, 572, 99.73333333333333
587, 598, 99.76666666666667
607, 621, 99.7
640, 648, 99.96666666666667
654, 672, 99.93333333333334
696, 700, 100.0
