desiredholes, actualholes, successrate
0, 0, 0
1, 1, 0.32
2, 2, 0.7
3, 4, 1.23
6, 6, 1.73
8, 9, 2.84
11, 12, 3.77
15, 16, 5.09
18, 20, 6.65
24, 25, 7.56
26, 30, 9.08
36, 36, 10.86
37, 42, 12.59
49, 48, 14.4
50, 56, 15.9
63, 63, 19.033333333333335
66, 72, 21.933333333333334
78, 80, 25.5
85, 90, 26.766666666666666
95, 99, 29.066666666666666
105, 110, 32.93333333333333
114, 120, 34.766666666666666
129, 132, 40.266666666666666
135, 143, 42.7
154, 156, 45.166666666666664
157, 168, 49.266666666666666
182, 195, 58.93333333333333
208, 208, 60.93333333333333
212, 224, 66.93333333333334
235, 238, 72.53333333333333
244, 255, 72.2
265, 270, 75.7
279, 288, 78.9
296, 304, 82.23333333333333
316, 323, 83.66666666666667
328, 340, 88.13333333333334
355, 360, 88.03333333333333
363, 378, 91.1
397, 399, 90.96666666666667
399, 418, 94.4
437, 437, 96.83333333333333
441, 460, 97.5
477, 480, 99.96666666666667
487, 504, 99.96666666666667
519, 525, 100.0
