desiredholes, actualholes, successrate
0, 0, 0
1, 1, 1.49
4, 4, 5.81
7, 7, 9.17
10, 10, 12.8
13, 13, 16.48
16, 16, 19.38
19, 19, 22.91
22, 22, 25.73
25, 25, 28.49
28, 28, 31.84
31, 31, 34.04
41, 41, 40.166666666666664
51, 51, 47.333333333333336
61, 61, 53.766666666666666
71, 71, 60.333333333333336
81, 81, 64.9
91, 91, 67.16666666666667
101, 101, 73.93333333333334
111, 111, 75.16666666666667
121, 121, 78.9
131, 131, 81.13333333333334
141, 141, 84.73333333333333
151, 151, 85.53333333333333
161, 161, 85.83333333333333
171, 171, 87.8
181, 181, 90.36666666666666
191, 191, 90.4
201, 201, 91.66666666666667
211, 211, 92.76666666666667
221, 221, 94.3
231, 231, 93.66666666666667
241, 241, 94.86666666666666
251, 251, 96.1
261, 261, 96.26666666666667
271, 271, 96.16666666666667
281, 281, 96.9
291, 291, 97.56666666666666
301, 301, 97.16666666666667
311, 311, 98.3
321, 321, 98.13333333333334
331, 331, 98.13333333333334
341, 341, 98.43333333333334
351, 351, 98.66666666666667
361, 361, 98.8
371, 371, 98.96666666666667
381, 381, 99.2
391, 391, 99.33333333333333
401, 401, 99.33333333333333
411, 411, 99.3
421, 421, 99.16666666666667
431, 431, 99.63333333333334
441, 441, 99.43333333333334
451, 451, 99.5
461, 461, 99.7
471, 471, 99.66666666666667
481, 481, 99.8
491, 491, 99.66666666666667
501, 501, 99.8
511, 511, 99.7
521, 521, 99.83333333333333
531, 531, 99.83333333333333
541, 541, 99.96666666666667
551, 551, 99.93333333333334
561, 561, 99.96666666666667
571, 571, 99.83333333333333
581, 581, 99.93333333333334
591, 591, 99.96666666666667
601, 601, 99.96666666666667
611, 611, 99.93333333333334
621, 621, 99.9
631, 631, 99.96666666666667
641, 641, 99.86666666666666
651, 651, 99.96666666666667
661, 661, 100.0
