desiredholes, actualholes, successrate
0, 0, 0
1, 1, 1.23
2, 2, 2.72
3, 4, 5.83
6, 6, 8.47
8, 9, 11.69
11, 12, 16.57
15, 16, 20.91
18, 20, 26.33
24, 25, 31.65
26, 30, 38.24
36, 36, 44.53
37, 42, 51.5
49, 48, 56.46666666666667
50, 56, 64.53333333333333
63, 63, 68.66666666666667
66, 72, 74.63333333333334
78, 80, 78.4
85, 90, 85.03333333333333
95, 99, 88.4
105, 110, 91.46666666666667
114, 120, 94.56666666666666
129, 132, 97.43333333333334
135, 143, 98.36666666666666
154, 156, 99.23333333333333
157, 168, 99.73333333333333
182, 195, 99.96666666666667
208, 208, 99.96666666666667
212, 224, 100.0
