desiredholes, actualholes, successrate
0, 0, 0
1, 1, 0.2
4, 4, 0.97
7, 7, 1.93
10, 10, 2.71
13, 13, 3.34
16, 16, 4.66
19, 19, 5.04
22, 22, 5.93
25, 25, 6.74
28, 28, 7.73
31, 31, 8.73
41, 41, 11.366666666666667
51, 51, 13.466666666666667
61, 61, 16.133333333333333
71, 71, 17.433333333333334
81, 81, 21.9
91, 91, 24.233333333333334
101, 101, 26.9
111, 111, 29.7
121, 121, 31.966666666666665
131, 131, 33.56666666666667
141, 141, 36.7
151, 151, 38.4
161, 161, 40.86666666666667
171, 171, 41.333333333333336
181, 181, 45.4
191, 191, 46.43333333333333
201, 201, 48.766666666666666
211, 211, 50.03333333333333
221, 221, 52.46666666666667
231, 231, 54.43333333333333
241, 241, 55.43333333333333
251, 251, 56.733333333333334
261, 261, 59.53333333333333
271, 271, 60.13333333333333
281, 281, 61.7
291, 291, 61.833333333333336
301, 301, 65.23333333333333
311, 311, 66.5
321, 321, 67.83333333333333
331, 331, 69.76666666666667
341, 341, 68.93333333333334
351, 351, 70.23333333333333
361, 361, 72.16666666666667
371, 371, 74.46666666666667
381, 381, 75.06666666666666
391, 391, 76.03333333333333
401, 401, 78.8
411, 411, 79.66666666666667
421, 421, 79.4
431, 431, 81.36666666666666
441, 441, 82.43333333333334
451, 451, 82.76666666666667
461, 461, 82.93333333333334
471, 471, 83.7
481, 481, 84.03333333333333
491, 491, 85.26666666666667
501, 501, 85.43333333333334
511, 511, 86.93333333333334
521, 521, 86.1
531, 531, 87.2
541, 541, 87.56666666666666
551, 551, 88.6
561, 561, 87.93333333333334
571, 571, 89.4
581, 581, 90.5
591, 591, 89.63333333333334
601, 601, 90.1
611, 611, 90.83333333333333
621, 621, 91.0
631, 631, 91.56666666666666
641, 641, 92.63333333333334
651, 651, 92.4
661, 661, 92.36666666666666
671, 671, 93.46666666666667
681, 681, 93.1
691, 691, 94.66666666666667
701, 701, 94.23333333333333
711, 711, 94.06666666666666
721, 721, 95.03333333333333
731, 731, 94.73333333333333
741, 741, 95.76666666666667
751, 751, 96.0
761, 761, 96.36666666666666
771, 771, 96.23333333333333
781, 781, 96.73333333333333
791, 791, 96.6
801, 801, 96.83333333333333
811, 811, 96.96666666666667
821, 821, 97.8
831, 831, 98.16666666666667
841, 841, 97.73333333333333
851, 851, 98.46666666666667
861, 861, 98.53333333333333
871, 871, 98.83333333333333
881, 881, 98.56666666666666
891, 891, 99.1
901, 901, 98.8
911, 911, 98.36666666666666
921, 921, 98.73333333333333
931, 931, 98.2
941, 941, 98.93333333333334
951, 951, 98.76666666666667
961, 961, 99.4
971, 971, 98.76666666666667
981, 981, 99.13333333333334
991, 991, 99.13333333333334
1001, 1001, 99.13333333333334
1011, 1011, 99.4
1021, 1021, 99.5
1031, 1031, 99.46666666666667
1041, 1041, 99.4
1051, 1051, 99.63333333333334
1061, 1061, 99.1
1071, 1071, 99.46666666666667
1081, 1081, 99.46666666666667
1091, 1091, 99.46666666666667
1101, 1101, 99.7
1111, 1111, 99.43333333333334
1121, 1121, 99.7
1131, 1131, 99.6
1141, 1141, 99.73333333333333
1151, 1151, 99.73333333333333
1161, 1161, 99.7
1171, 1171, 99.86666666666666
1181, 1181, 99.73333333333333
1191, 1191, 99.8
1201, 1201, 99.93333333333334
1211, 1211, 99.8
1221, 1221, 99.86666666666666
1231, 1231, 99.9
1241, 1241, 99.9
1251, 1251, 99.86666666666666
1261, 1261, 99.86666666666666
1271, 1271, 99.83333333333333
1281, 1281, 99.86666666666666
1291, 1291, 99.96666666666667
1301, 1301, 100.0
