ratio, hexlike, staggerXY, randomisedStaggerXY8, halton, random
-40.0, 97.52484351851852, 97.58734296296296, 99.11028092592592, 99.36330203703706, 99.10370999999999
-35.48133892335752, 97.76200259259261, 97.80924037037038, 99.13403962962961, 99.37033555555556, 99.10088166666667
-25.11886431509578, 98.2917035185185, 98.33316500000001, 99.19243666666667, 99.37969685185186, 99.11711259259259
-17.782794100389218, 98.71560111111111, 98.74563296296297, 99.25728055555555, 99.3796262962963, 99.12242055555556
-12.58925411794167, 99.01788055555556, 99.05795148148148, 99.31789407407408, 99.38069203703704, 99.12874537037037
-9.999999999999996, 99.18976185185186, 99.22972518518517, 99.35527962962962, 99.39355722222223, 99.12382833333334
-7.943282347242813, 99.32629185185186, 99.36234685185185, 99.39107555555555, 99.3891775925926, 99.12278203703704
-6.309573444801932, 99.43095388888888, 99.45453314814814, 99.4257225925926, 99.39710962962964, 99.1346624074074
-5.011872336272721, 99.50361092592593, 99.52345777777778, 99.45338462962962, 99.40041203703704, 99.12557944444444
-3.9810717055349714, 99.53780925925926, 99.55820907407407, 99.48251592592592, 99.39477111111111, 99.1285148148148
-3.1622776601683795, 99.52637000000001, 99.55323111111112, 99.4900474074074, 99.40442277777777, 99.1307914814815
-2.51188643150958, 99.49765851851852, 99.5217974074074, 99.48185222222222, 99.40643981481482, 99.13473074074074
-1.9952623149688797, 99.46491777777779, 99.48472092592593, 99.46162074074074, 99.40775722222222, 99.12304555555556
-1.5848931924611136, 99.46273111111113, 99.47545203703704, 99.45161, 99.40609740740742, 99.13383888888889
-1.258925411794167, 99.49440574074073, 99.48242537037038, 99.45519574074075, 99.41105277777777, 99.12902296296296
-1.0, 99.53291537037036, 99.48808518518518, 99.45522833333332, 99.40138481481482, 99.12343925925926
1.258925411794167, 99.53678962962964, 99.4888662962963, 99.45915759259259, 99.40533777777779, 99.13095333333334
1.5848931924611136, 99.5091024074074, 99.48644092592592, 99.45343703703703, 99.40568962962963, 99.12398296296297
1.9952623149688797, 99.44084592592593, 99.47762185185185, 99.45283111111111, 99.40989888888889, 99.12882166666667
2.51188643150958, 99.33699240740741, 99.48185888888888, 99.45856740740741, 99.41019555555556, 99.126735
3.1622776601683795, 99.19951833333334, 99.51190296296296, 99.47907444444445, 99.40337481481481, 99.12995722222222
3.9810717055349714, 99.01823518518519, 99.5473051851852, 99.49141018518519, 99.40257333333334, 99.13116611111113
5.011872336272721, 98.78267462962962, 99.57071407407408, 99.49001555555556, 99.39686611111111, 99.1216038888889
6.309573444801932, 98.4963487037037, 99.551625, 99.4722588888889, 99.4004848148148, 99.11888407407409
7.943282347242813, 98.15998611111111, 99.49987666666667, 99.44217111111112, 99.39963777777778, 99.12702574074075
9.999999999999995, 97.71862462962963, 99.4141187037037, 99.41937203703705, 99.38598444444445, 99.1248688888889
12.58925411794167, 97.22069925925926, 99.29238333333333, 99.3891324074074, 99.38620685185185, 99.11948037037037
17.782794100389218, 96.27349333333332, 99.07604222222223, 99.34168611111112, 99.37252814814815, 99.1191114814815
25.11886431509578, 95.02580296296296, 98.76426574074074, 99.29255185185185, 99.37202814814815, 99.10613962962962
35.48133892335752, 93.46665203703705, 98.36610333333334, 99.23684037037039, 99.36588944444443, 99.09452518518518
40.0, 92.85154314814815, 98.21251907407407, 99.21365462962963, 99.35948018518518, 99.09978296296296
