desiredholes, actualholes, successrate
0, 0, 0
1, 1, 3.04
4, 4, 10.86
7, 7, 19.71
10, 10, 27.98
13, 13, 34.53
16, 16, 41.66
19, 19, 46.71
22, 22, 53.16
25, 25, 58.73
28, 28, 64.75
31, 31, 68.02
41, 41, 80.46666666666667
51, 51, 85.23333333333333
61, 61, 92.76666666666667
71, 71, 95.43333333333334
81, 81, 97.33333333333333
91, 91, 98.46666666666667
101, 101, 99.03333333333333
111, 111, 99.5
121, 121, 99.73333333333333
131, 131, 99.86666666666666
141, 141, 99.96666666666667
151, 151, 99.96666666666667
161, 161, 100.0
