desiredholes, actualholes, successrate
0, 0, 0
1, 1, 0.64
2, 2, 1.11
4, 4, 2.44
5, 6, 3.88
9, 12, 6.61
16, 15, 7.72
17, 20, 10.7
24, 24, 12.64
26, 30, 15.63
34, 35, 18.12
39, 42, 21.89
45, 48, 25.6
53, 56, 28.933333333333334
59, 63, 31.9
70, 72, 37.5
74, 80, 41.36666666666667
89, 90, 46.666666666666664
91, 99, 51.333333333333336
109, 108, 56.266666666666666
110, 120, 60.766666666666666
130, 130, 67.1
134, 143, 74.9
152, 154, 81.1
160, 168, 87.33333333333333
175, 180, 90.56666666666666
188, 195, 99.0
201, 208, 98.7
219, 224, 100.0
