desiredholes, actualholes, successrate
0, 0, 0
1, 1, 1.59
2, 2, 3.55
3, 4, 6.05
6, 6, 8.99
8, 9, 13.8
11, 12, 18.15
15, 16, 21.23
18, 20, 26.47
24, 25, 29.77
26, 30, 35.88
36, 36, 40.26
37, 42, 46.85
49, 48, 52.7
50, 56, 57.4
63, 63, 61.63333333333333
66, 72, 66.86666666666666
78, 80, 70.1
85, 90, 72.86666666666666
95, 99, 76.36666666666666
105, 110, 80.3
114, 120, 84.2
129, 132, 85.4
135, 143, 87.6
154, 156, 88.96666666666667
157, 168, 91.76666666666667
182, 195, 94.43333333333334
208, 208, 95.13333333333334
212, 224, 95.8
235, 238, 96.96666666666667
244, 255, 97.33333333333333
265, 270, 97.86666666666666
279, 288, 98.63333333333334
296, 304, 98.76666666666667
316, 323, 98.46666666666667
328, 340, 99.53333333333333
355, 360, 98.73333333333333
363, 378, 99.36666666666666
397, 399, 99.5
399, 418, 99.73333333333333
437, 437, 99.76666666666667
441, 460, 99.8
477, 480, 99.96666666666667
487, 504, 99.93333333333334
519, 525, 100.0
