field size, hexlike, staggerXY, randomisedStaggerXY8
100, 6.8774772990965385, 7.411200319659134, 8.191306863324368
150, 7.084918622923084, 7.491117080385403, 8.177279747852918
200, 7.14273105716812, 7.449796789510425, 8.187766485205051
