desiredholes, actualholes, successrate
0, 0, 0
1, 1, 2.9
2, 2, 5.73
3, 4, 11.96
6, 6, 17.49
8, 9, 21.97
11, 12, 29.27
15, 16, 34.47
18, 20, 42.96
24, 25, 47.29
26, 30, 55.86
36, 36, 61.16
37, 42, 66.94
49, 48, 72.2
50, 56, 77.86666666666666
63, 63, 81.43333333333334
66, 72, 83.9
78, 80, 87.5
85, 90, 90.26666666666667
95, 99, 92.96666666666667
105, 110, 93.63333333333334
114, 120, 95.1
129, 132, 95.7
135, 143, 97.23333333333333
154, 156, 97.36666666666666
157, 168, 98.23333333333333
182, 195, 98.63333333333334
208, 208, 98.93333333333334
212, 224, 99.26666666666667
235, 238, 99.6
244, 255, 99.43333333333334
265, 270, 99.83333333333333
279, 288, 99.83333333333333
296, 304, 100.0
