site area, hexlike, staggerXY, randomisedStaggerXY8
20, 8.278708537853914, 8.529349933385172, 9.303789529357427
100, 6.8811817116100995, 7.4230282925207005, 8.040445258276273
200, 6.278440828508835, 6.904291798136198, 7.2504915718945515
