desiredholes, actualholes, successrate
0, 0, 0
1, 1, 0.7
2, 2, 1.55
3, 4, 2.55
6, 6, 3.96
8, 9, 5.86
11, 12, 8.01
15, 16, 9.63
18, 20, 12.59
24, 25, 14.86
26, 30, 18.15
36, 36, 21.52
37, 42, 23.97
49, 48, 27.866666666666667
50, 56, 30.833333333333332
63, 63, 36.03333333333333
66, 72, 34.03333333333333
78, 80, 39.1
85, 90, 38.03333333333333
95, 99, 41.56666666666667
105, 110, 41.86666666666667
114, 120, 46.833333333333336
129, 132, 48.13333333333333
135, 143, 49.5
154, 156, 51.53333333333333
157, 168, 54.63333333333333
182, 195, 57.5
208, 208, 61.6
212, 224, 61.833333333333336
235, 238, 66.2
244, 255, 65.86666666666666
265, 270, 69.43333333333334
279, 288, 70.63333333333334
296, 304, 75.5
316, 323, 74.3
328, 340, 77.33333333333333
355, 360, 78.43333333333334
363, 378, 82.2
397, 399, 81.4
399, 418, 85.63333333333334
437, 437, 88.53333333333333
441, 460, 89.83333333333333
477, 480, 93.26666666666667
487, 504, 94.5
519, 525, 96.96666666666667
536, 550, 97.16666666666667
562, 572, 99.53333333333333
587, 598, 99.56666666666666
607, 621, 99.9
640, 648, 99.8
654, 672, 100.0
