desiredholes, actualholes, successrate
0, 0, 0
1, 1, 0.3
2, 2, 0.52
3, 4, 1.33
6, 6, 1.88
8, 9, 2.54
11, 12, 3.59
15, 16, 4.62
18, 20, 6.06
24, 25, 7.94
26, 30, 8.32
36, 36, 10.2
37, 42, 12.3
49, 48, 14.3
50, 56, 15.566666666666666
63, 63, 16.566666666666666
66, 72, 19.333333333333332
78, 80, 22.5
85, 90, 25.766666666666666
95, 99, 27.566666666666666
105, 110, 30.233333333333334
114, 120, 33.63333333333333
129, 132, 37.86666666666667
135, 143, 38.56666666666667
154, 156, 42.9
157, 168, 44.56666666666667
182, 195, 51.93333333333333
208, 208, 55.666666666666664
212, 224, 58.2
235, 238, 61.233333333333334
244, 255, 65.13333333333334
265, 270, 68.66666666666667
279, 288, 71.8
296, 304, 75.16666666666667
316, 323, 78.6
328, 340, 80.3
355, 360, 82.9
363, 378, 84.3
397, 399, 86.36666666666666
399, 418, 86.36666666666666
437, 437, 88.2
441, 460, 90.26666666666667
477, 480, 90.66666666666667
487, 504, 92.5
519, 525, 93.36666666666666
536, 550, 94.5
562, 572, 94.36666666666666
587, 598, 96.06666666666666
607, 621, 96.7
640, 648, 97.36666666666666
654, 672, 98.0
696, 700, 98.23333333333333
702, 725, 98.36666666666666
752, 750, 98.7
753, 780, 99.23333333333333
804, 806, 99.33333333333333
813, 837, 99.4
858, 864, 99.6
876, 896, 99.76666666666667
913, 924, 99.63333333333334
941, 957, 99.9
970, 986, 99.83333333333333
1008, 1020, 99.8
1029, 1050, 100.0
