desiredholes, actualholes, successrate
0, 0, 0
1, 1, 1.53
2, 2, 2.57
3, 4, 5.3
6, 6, 8.08
8, 9, 12.54
11, 12, 17.0
15, 16, 21.61
18, 20, 25.86
24, 25, 31.91
26, 30, 38.36
36, 36, 43.68
37, 42, 50.24
49, 48, 57.1
50, 56, 63.233333333333334
63, 63, 69.16666666666667
66, 72, 75.5
78, 80, 78.66666666666667
85, 90, 84.43333333333334
95, 99, 88.56666666666666
105, 110, 91.53333333333333
114, 120, 95.0
129, 132, 96.7
135, 143, 97.83333333333333
154, 156, 98.83333333333333
157, 168, 99.4
182, 195, 99.96666666666667
208, 208, 99.9
212, 224, 100.0
