desiredholes, actualholes, successrate
0, 0, 0
1, 1, 2.92
2, 2, 5.72
3, 4, 11.47
6, 6, 11.3
8, 9, 17.45
11, 12, 17.14
15, 16, 22.5
18, 20, 22.9
24, 25, 27.14
26, 30, 28.41
36, 36, 33.98
37, 42, 34.05
49, 48, 33.8
50, 56, 39.6
63, 63, 38.93333333333333
66, 72, 44.166666666666664
78, 80, 43.93333333333333
85, 90, 51.9
95, 99, 51.0
105, 110, 55.56666666666667
114, 120, 56.1
129, 132, 61.06666666666667
135, 143, 63.1
154, 156, 67.4
157, 168, 65.6
182, 195, 73.2
208, 208, 70.5
212, 224, 78.76666666666667
235, 238, 79.36666666666666
244, 255, 83.0
265, 270, 83.46666666666667
279, 288, 89.26666666666667
296, 304, 90.26666666666667
316, 323, 94.66666666666667
328, 340, 95.06666666666666
355, 360, 99.4
363, 378, 99.66666666666667
397, 399, 99.9
399, 418, 99.9
437, 437, 99.86666666666666
441, 460, 100.0
