desiredholes, actualholes, successrate
0, 0, 0
1, 1, 0.67
2, 2, 1.33
3, 4, 2.44
6, 6, 3.63
8, 9, 5.28
11, 12, 6.95
15, 16, 8.72
18, 20, 11.8
24, 25, 14.05
26, 30, 16.55
36, 36, 19.98
37, 42, 23.77
49, 48, 26.366666666666667
50, 56, 30.266666666666666
63, 63, 33.266666666666666
66, 72, 37.06666666666667
78, 80, 44.1
85, 90, 47.96666666666667
95, 99, 51.5
105, 110, 57.93333333333333
114, 120, 60.233333333333334
129, 132, 67.7
135, 143, 65.8
154, 156, 71.5
157, 168, 74.4
182, 195, 79.16666666666667
208, 208, 79.26666666666667
212, 224, 85.9
235, 238, 85.3
244, 255, 90.0
265, 270, 90.66666666666667
279, 288, 92.56666666666666
296, 304, 93.93333333333334
316, 323, 95.36666666666666
328, 340, 96.56666666666666
355, 360, 97.9
363, 378, 98.2
397, 399, 98.46666666666667
399, 418, 99.23333333333333
437, 437, 99.23333333333333
441, 460, 99.5
477, 480, 99.33333333333333
487, 504, 99.86666666666666
519, 525, 99.8
536, 550, 99.83333333333333
562, 572, 99.86666666666666
587, 598, 99.96666666666667
607, 621, 99.96666666666667
640, 648, 100.0
