desiredholes, actualholes, successrate
0, 0, 0
1, 1, 0.39
2, 2, 0.7
3, 4, 1.47
6, 6, 1.95
8, 9, 3.35
11, 12, 4.07
15, 16, 5.23
18, 20, 6.23
24, 25, 8.02
26, 30, 10.31
36, 36, 11.8
37, 42, 13.41
49, 48, 15.3
50, 56, 18.466666666666665
63, 63, 19.566666666666666
66, 72, 22.0
78, 80, 25.2
85, 90, 27.566666666666666
95, 99, 31.066666666666666
105, 110, 33.63333333333333
114, 120, 35.43333333333333
129, 132, 39.13333333333333
135, 143, 39.733333333333334
154, 156, 43.03333333333333
157, 168, 46.5
182, 195, 50.56666666666667
208, 208, 52.233333333333334
212, 224, 55.233333333333334
235, 238, 60.7
244, 255, 60.4
265, 270, 64.16666666666667
279, 288, 66.2
296, 304, 68.53333333333333
316, 323, 71.13333333333334
328, 340, 73.43333333333334
355, 360, 76.23333333333333
363, 378, 78.46666666666667
397, 399, 79.83333333333333
399, 418, 80.06666666666666
437, 437, 82.46666666666667
441, 460, 83.4
477, 480, 84.13333333333334
487, 504, 85.66666666666667
519, 525, 86.7
536, 550, 87.93333333333334
562, 572, 89.73333333333333
587, 598, 91.7
607, 621, 91.56666666666666
640, 648, 93.7
654, 672, 94.06666666666666
696, 700, 94.33333333333333
702, 725, 95.16666666666667
752, 750, 95.13333333333334
753, 780, 96.03333333333333
804, 806, 96.56666666666666
813, 837, 97.43333333333334
858, 864, 96.83333333333333
876, 896, 97.86666666666666
913, 924, 98.13333333333334
941, 957, 98.4
970, 986, 98.73333333333333
1008, 1020, 98.6
1029, 1050, 98.96666666666667
1077, 1085, 99.16666666666667
1090, 1116, 99.06666666666666
1149, 1152, 99.2
1152, 1184, 99.33333333333333
1216, 1216, 99.4
1223, 1254, 99.36666666666666
1282, 1287, 99.53333333333333
1299, 1326, 99.63333333333334
1349, 1360, 99.56666666666666
1378, 1400, 99.86666666666666
1418, 1435, 99.7
1458, 1476, 99.9
1489, 1512, 99.9
1542, 1554, 99.9
1562, 1591, 99.96666666666667
1627, 1634, 99.96666666666667
1636, 1672, 100.0
