desiredholes, actualholes, successrate
0, 0, 0
1, 1, 2.87
4, 4, 10.47
7, 7, 17.46
10, 10, 24.47
13, 13, 30.16
16, 16, 35.98
19, 19, 40.05
22, 22, 45.36
25, 25, 49.63
28, 28, 53.81
31, 31, 56.98
41, 41, 66.93333333333334
51, 51, 74.6
61, 61, 79.4
71, 71, 85.1
81, 81, 88.36666666666666
91, 91, 90.83333333333333
101, 101, 91.56666666666666
111, 111, 94.03333333333333
121, 121, 94.86666666666666
131, 131, 96.4
141, 141, 97.4
151, 151, 97.36666666666666
161, 161, 98.0
171, 171, 98.26666666666667
181, 181, 98.93333333333334
191, 191, 98.9
201, 201, 99.33333333333333
211, 211, 99.56666666666666
221, 221, 99.66666666666667
231, 231, 99.6
241, 241, 99.83333333333333
251, 251, 99.8
261, 261, 99.9
271, 271, 99.8
281, 281, 99.9
291, 291, 99.9
301, 301, 99.9
311, 311, 99.93333333333334
321, 321, 99.96666666666667
331, 331, 100.0
