desiredholes, actualholes, successrate
0, 0, 0
1, 1, 0.42
2, 2, 0.68
3, 4, 1.52
6, 6, 2.61
8, 9, 3.31
11, 12, 3.98
15, 16, 5.23
18, 20, 6.64
24, 25, 8.17
26, 30, 10.02
36, 36, 12.22
37, 42, 14.32
49, 48, 17.333333333333332
50, 56, 18.466666666666665
63, 63, 20.233333333333334
66, 72, 23.633333333333333
78, 80, 25.266666666666666
85, 90, 31.1
95, 99, 32.3
105, 110, 33.1
114, 120, 36.7
129, 132, 36.233333333333334
135, 143, 40.03333333333333
154, 156, 39.8
157, 168, 42.93333333333333
182, 195, 44.833333333333336
208, 208, 48.6
212, 224, 47.733333333333334
235, 238, 51.7
244, 255, 51.96666666666667
265, 270, 54.63333333333333
279, 288, 53.733333333333334
296, 304, 56.43333333333333
316, 323, 57.53333333333333
328, 340, 59.13333333333333
355, 360, 59.833333333333336
363, 378, 63.833333333333336
397, 399, 63.36666666666667
399, 418, 66.83333333333333
437, 437, 68.36666666666666
441, 460, 70.86666666666666
477, 480, 73.33333333333333
487, 504, 73.53333333333333
519, 525, 75.5
536, 550, 75.03333333333333
562, 572, 78.16666666666667
587, 598, 79.63333333333334
607, 621, 81.9
640, 648, 82.2
654, 672, 84.06666666666666
696, 700, 84.06666666666666
702, 725, 87.26666666666667
752, 750, 91.46666666666667
753, 780, 91.56666666666666
804, 806, 94.1
813, 837, 93.7
858, 864, 96.53333333333333
876, 896, 97.1
913, 924, 99.43333333333334
941, 957, 99.9
970, 986, 99.53333333333333
1008, 1020, 99.33333333333333
1029, 1050, 99.6
1077, 1085, 99.73333333333333
1090, 1116, 99.9
1149, 1152, 99.8
1152, 1184, 99.73333333333333
1216, 1216, 99.9
1223, 1254, 99.96666666666667
1282, 1287, 99.96666666666667
1299, 1326, 99.93333333333334
1349, 1360, 100.0
