desiredholes, actualholes, successrate
0, 0, 0
1, 1, 0.61
2, 2, 1.39
3, 4, 2.57
6, 6, 3.78
8, 9, 5.4
11, 12, 7.19
15, 16, 9.03
18, 20, 11.47
24, 25, 14.57
26, 30, 16.92
36, 36, 20.51
37, 42, 23.13
49, 48, 27.033333333333335
50, 56, 30.833333333333332
63, 63, 34.8
66, 72, 37.2
78, 80, 44.93333333333333
85, 90, 49.46666666666667
95, 99, 55.666666666666664
105, 110, 60.7
114, 120, 67.73333333333333
129, 132, 72.26666666666667
135, 143, 79.0
154, 156, 79.03333333333333
157, 168, 86.06666666666666
182, 195, 92.03333333333333
208, 208, 98.0
212, 224, 97.93333333333334
235, 238, 99.96666666666667
244, 255, 99.9
265, 270, 100.0
