desiredholes, actualholes, successrate
0, 0, 0
1, 1, 0.55
4, 4, 2.57
7, 7, 3.98
10, 10, 5.59
13, 13, 7.49
16, 16, 8.87
19, 19, 10.36
22, 22, 12.24
25, 25, 14.44
28, 28, 15.6
31, 31, 17.49
41, 41, 22.9
51, 51, 29.5
61, 61, 33.266666666666666
71, 71, 37.4
81, 81, 42.2
91, 91, 46.06666666666667
101, 101, 49.6
111, 111, 54.233333333333334
121, 121, 57.3
131, 131, 60.8
141, 141, 63.766666666666666
151, 151, 66.26666666666667
161, 161, 69.86666666666666
171, 171, 72.2
181, 181, 74.33333333333333
191, 191, 76.66666666666667
201, 201, 78.4
211, 211, 81.6
221, 221, 82.1
231, 231, 84.86666666666666
241, 241, 85.3
251, 251, 88.0
261, 261, 87.4
271, 271, 90.03333333333333
281, 281, 89.93333333333334
291, 291, 90.33333333333333
301, 301, 92.03333333333333
311, 311, 92.93333333333334
321, 321, 93.16666666666667
331, 331, 94.96666666666667
341, 341, 94.76666666666667
351, 351, 95.33333333333333
361, 361, 95.7
371, 371, 96.8
381, 381, 96.76666666666667
391, 391, 97.83333333333333
401, 401, 97.83333333333333
411, 411, 98.06666666666666
421, 421, 98.33333333333333
431, 431, 99.0
441, 441, 98.93333333333334
451, 451, 98.93333333333334
461, 461, 99.06666666666666
471, 471, 99.3
481, 481, 99.6
491, 491, 99.6
501, 501, 99.36666666666666
511, 511, 99.5
521, 521, 99.6
531, 531, 99.7
541, 541, 99.66666666666667
551, 551, 99.6
561, 561, 99.73333333333333
571, 571, 99.76666666666667
581, 581, 99.83333333333333
591, 591, 99.8
601, 601, 99.83333333333333
611, 611, 99.9
621, 621, 99.93333333333334
631, 631, 99.83333333333333
641, 641, 99.86666666666666
651, 651, 99.96666666666667
661, 661, 99.96666666666667
671, 671, 99.9
681, 681, 99.93333333333334
691, 691, 99.96666666666667
701, 701, 100.0
