desiredholes, actualholes, successrate
0, 0, 0
1, 1, 0.67
4, 4, 2.75
7, 7, 4.97
10, 10, 6.66
13, 13, 8.25
16, 16, 10.0
19, 19, 11.74
22, 22, 12.87
25, 25, 14.73
28, 28, 15.78
31, 31, 16.9
41, 41, 21.966666666666665
51, 51, 27.066666666666666
61, 61, 29.5
71, 71, 36.03333333333333
81, 81, 36.46666666666667
91, 91, 40.4
101, 101, 45.2
111, 111, 47.03333333333333
121, 121, 51.166666666666664
131, 131, 52.666666666666664
141, 141, 55.5
151, 151, 58.333333333333336
161, 161, 59.93333333333333
171, 171, 62.266666666666666
181, 181, 61.93333333333333
191, 191, 66.3
201, 201, 67.76666666666667
211, 211, 69.13333333333334
221, 221, 70.03333333333333
231, 231, 72.66666666666667
241, 241, 74.26666666666667
251, 251, 75.8
261, 261, 75.66666666666667
271, 271, 79.4
281, 281, 78.46666666666667
291, 291, 80.03333333333333
301, 301, 80.93333333333334
311, 311, 82.6
321, 321, 83.7
331, 331, 83.73333333333333
341, 341, 84.8
351, 351, 85.03333333333333
361, 361, 85.83333333333333
371, 371, 86.4
381, 381, 86.83333333333333
391, 391, 86.26666666666667
401, 401, 88.16666666666667
411, 411, 88.83333333333333
421, 421, 89.63333333333334
431, 431, 90.4
441, 441, 90.06666666666666
451, 451, 91.4
461, 461, 91.7
471, 471, 91.8
481, 481, 92.73333333333333
491, 491, 92.9
501, 501, 93.3
511, 511, 94.03333333333333
521, 521, 93.23333333333333
531, 531, 94.8
541, 541, 94.9
551, 551, 94.73333333333333
561, 561, 94.53333333333333
571, 571, 95.96666666666667
581, 581, 95.46666666666667
591, 591, 95.76666666666667
601, 601, 95.86666666666666
611, 611, 95.06666666666666
621, 621, 96.1
631, 631, 96.83333333333333
641, 641, 96.8
651, 651, 96.73333333333333
661, 661, 97.33333333333333
671, 671, 97.3
681, 681, 96.96666666666667
691, 691, 97.36666666666666
701, 701, 97.33333333333333
711, 711, 97.96666666666667
721, 721, 97.56666666666666
731, 731, 97.9
741, 741, 98.1
751, 751, 98.06666666666666
761, 761, 98.5
771, 771, 98.1
781, 781, 98.36666666666666
791, 791, 98.53333333333333
801, 801, 98.03333333333333
811, 811, 98.7
821, 821, 98.83333333333333
831, 831, 98.56666666666666
841, 841, 98.9
851, 851, 98.86666666666666
861, 861, 98.8
871, 871, 98.83333333333333
881, 881, 99.3
891, 891, 99.0
901, 901, 99.2
911, 911, 99.16666666666667
921, 921, 99.13333333333334
931, 931, 99.1
941, 941, 99.16666666666667
951, 951, 99.4
961, 961, 99.53333333333333
971, 971, 99.2
981, 981, 99.4
991, 991, 99.56666666666666
1001, 1001, 99.5
1011, 1011, 99.56666666666666
1021, 1021, 99.66666666666667
1031, 1031, 99.6
1041, 1041, 99.43333333333334
1051, 1051, 99.36666666666666
1061, 1061, 99.66666666666667
1071, 1071, 99.53333333333333
1081, 1081, 99.73333333333333
1091, 1091, 99.7
1101, 1101, 99.73333333333333
1111, 1111, 99.63333333333334
1121, 1121, 99.73333333333333
1131, 1131, 99.56666666666666
1141, 1141, 99.7
1151, 1151, 99.8
1161, 1161, 99.83333333333333
1171, 1171, 99.8
1181, 1181, 99.73333333333333
1191, 1191, 99.66666666666667
1201, 1201, 99.93333333333334
1211, 1211, 99.93333333333334
1221, 1221, 99.63333333333334
1231, 1231, 99.86666666666666
1241, 1241, 99.86666666666666
1251, 1251, 99.83333333333333
1261, 1261, 99.9
1271, 1271, 99.93333333333334
1281, 1281, 99.83333333333333
1291, 1291, 99.86666666666666
1301, 1301, 100.0
