Layout Algorithm,80% Success Rate (pits),95% Success Rate (pits),100% Success Rate (pits)
Hexagonal-like,160.27,207.52,270
StaggerXY,161.36,207.94,270
RandomisedStaggerXY,178.49,259.94,480
Halton,215.49,341.83,711
Random,299.66,566.4,1641
